doc_id,begin,end,Rules,TBM,LLM
18258107,79,96,0,1,0
18258107,103,112,0,1,1
18258107,236,244,0,0,0
18258107,260,268,0,1,1
18258107,2245,2250,0,1,0
23897372,423,430,1,0,1
23897372,432,439,0,0,1
23897372,443,456,1,0,1
24518095,45,52,0,0,1
26664317,198,213,0,0,0
26664317,743,760,0,1,0
26683938,460,479,0,0,1
26683938,522,528,0,0,0
26683938,640,658,0,0,0
26683938,660,667,0,0,1
26683938,672,679,0,0,1
27683825,322,329,1,1,0
27683825,810,814,0,0,1
27683825,1117,1121,0,0,1
28151882,106,113,1,1,1
28151882,117,135,0,1,1
28151882,3306,3323,0,0,0
28151882,3328,3344,0,0,0
28190872,1002,1007,0,0,0
28202869,391,406,0,1,1
28216610,385,392,1,1,1
28216610,403,416,0,0,0
28216610,438,456,0,0,0
28250406,364,383,0,1,0
28321073,44,61,1,0,1
28353604,4293,4316,0,0,0
