doc_id,begin,end,Rules,TBM,LLM
18258107,1840,1853,1,1,1
18416479,2196,2200,1,1,0
18416479,2405,2416,1,1,1
18416479,2589,2600,1,1,1
18416479,2691,2702,1,1,1
19009665,697,705,0,0,0
19009665,831,847,0,1,0
19009665,1478,1482,0,1,0
21067996,271,280,0,0,0
21067996,371,380,1,1,0
22515939,806,817,1,1,1
23312850,1794,1816,0,1,0
23312850,1865,1869,1,1,1
23312850,1917,1921,1,1,1
23312850,2428,2439,1,1,1
26309459,1408,1420,1,1,1
26664317,1264,1275,1,1,1
26675562,810,818,1,1,0
26683938,1831,1842,1,1,1
26683938,2474,2485,1,1,1
27846860,2336,2346,1,1,1
27846860,2371,2384,1,1,1
28190872,1639,1650,1,1,1
28190872,2248,2259,1,1,1
28202869,3123,3133,1,1,0
28239141,1732,1744,1,1,1
28239141,1800,1811,1,1,1
28321073,2998,3010,0,0,0
28353556,532,534,1,1,1
28353604,2018,2022,1,1,1
