doc_id,begin,end,Rules,TBM,LLM
15939911,8,19,1,1,1
18258107,36,47,1,1,1
18416479,2,13,1,1,1
19009665,2,13,1,1,1
19860007,2,13,1,1,1
21067996,2,13,1,1,1
21527041,3,14,1,1,1
21672201,2,15,1,1,1
22515939,2,13,1,1,1
22665582,2,12,1,1,1
22665582,23,27,0,0,0
22791498,2,13,1,1,1
23312850,2,13,1,1,1
23897372,2,13,1,1,1
24518095,2,13,1,1,1
24898994,15,18,0,0,1
25210224,2,12,1,1,1
25246819,2,13,1,1,1
25246819,760,775,0,0,0
25295501,17,28,1,1,1
25926582,2,13,1,1,1
26228535,2,13,1,1,1
26309459,2,13,1,1,1
26327988,2,13,1,1,1
26361640,2,13,1,1,1
26444414,2,13,1,1,1
26474553,3,13,1,1,1
26530965,2,13,1,1,1
26584481,25,36,1,1,1
26656340,201,211,1,1,1
26664317,0,13,0,0,0
26675562,18,29,1,1,1
26683938,2,13,1,1,1
27004009,2,13,1,1,1
27196481,2,13,1,1,1
27683825,17,28,1,1,1
27793101,2,13,1,1,1
27842595,2,13,1,1,1
27846860,2,13,1,1,1
27906105,22,33,1,1,1
28120581,5,16,1,1,1
28151882,2,13,1,1,1
28190872,2,13,1,1,1
28202869,2,13,1,1,1
28216610,2,13,1,1,1
28239141,2,13,1,1,1
28250406,2,13,1,1,1
28296775,2,13,1,1,1
28321073,2,13,1,1,1
28353556,2,13,1,1,1
28353604,2,13,1,1,1
28422883,2,13,1,1,1
