doc_id,begin,end,Rules,TBM,LLM
15939911,251,260,0,1,0
15939911,301,320,0,1,1
15939911,573,586,1,1,0
15939911,658,673,1,1,1
15939911,746,761,1,1,1
15939911,793,805,1,1,1
15939911,814,819,0,1,0
15939911,844,859,1,1,1
15939911,874,906,0,1,0
15939911,950,964,0,1,0
15939911,1120,1131,1,1,1
15939911,1212,1229,0,1,1
15939911,1576,1591,1,1,1
18258107,820,839,0,1,1
18258107,841,844,0,1,0
18258107,1018,1021,0,1,1
18258107,1195,1199,0,1,1
18258107,1235,1240,1,1,1
18258107,1928,1936,0,1,0
18416479,415,420,1,1,1
18416479,517,528,0,1,0
18416479,1396,1407,0,1,0
18416479,1538,1543,1,1,0
19009665,142,162,0,1,1
19009665,338,356,0,0,0
19009665,364,380,0,0,0
19009665,418,438,0,1,0
19009665,608,615,1,1,0
19009665,669,692,0,1,0
19009665,855,884,0,1,0
19009665,924,944,0,1,1
19009665,1056,1076,0,1,0
19009665,1234,1239,1,1,1
19009665,1293,1302,0,1,0
19009665,1322,1333,0,1,0
19009665,1341,1346,1,1,1
19009665,1416,1438,0,0,0
19009665,1724,1739,1,1,1
19009665,1842,1847,1,1,1
19009665,1924,1935,0,0,1
19009665,1940,1950,0,0,1
19860007,51,58,1,0,0
19860007,551,597,0,0,0
19860007,629,654,0,0,0
19860007,742,756,0,1,1
19860007,790,797,1,1,1
19860007,824,845,0,0,0
19860007,930,935,1,1,1
19860007,937,941,1,1,1
19860007,945,955,1,1,1
19860007,961,966,1,1,1
19860007,1045,1058,0,0,0
19860007,1133,1150,0,0,0
19860007,1603,1612,0,1,1
19860007,1623,1629,0,0,1
19860007,1717,1742,0,0,0
19860007,1768,1802,0,0,0
19860007,2009,2016,1,1,1
19860007,2143,2150,0,0,0
19860007,2173,2205,0,0,0
21067996,58,67,1,1,1
21067996,93,102,1,1,1
21067996,171,178,1,1,1
21067996,593,600,1,1,1
21067996,644,659,1,1,1
21067996,691,709,0,1,1
21067996,956,968,0,1,0
21527041,107,116,1,1,1
21527041,226,233,1,1,1
