doc_id,begin,end,Rules,TBM,LLM
15939911,1657,1671,1,1,0
18258107,136,145,1,1,1
18258107,289,320,0,0,0
18258107,419,431,1,1,0
18258107,1305,1319,0,1,0
18258107,1866,1880,0,0,0
18258107,1992,2006,0,1,0
18258107,2270,2311,0,0,0
18258107,2316,2330,0,1,0
18258107,2576,2602,0,0,0
18416479,50,63,1,1,1
18416479,186,190,1,1,1
18416479,651,672,0,1,0
18416479,838,852,1,1,1
18416479,1061,1070,1,1,1
18416479,1084,1105,0,0,0
18416479,1229,1238,0,0,0
18416479,2251,2257,1,1,0
18416479,2522,2526,0,1,0
19009665,124,136,1,1,1
19009665,993,1008,1,1,0
19009665,1127,1135,0,1,0
19009665,1573,1587,1,1,0
19009665,1904,1918,1,1,0
19860007,2409,2428,0,0,0
19860007,2430,2445,1,1,0
19860007,2692,2708,0,0,0
19860007,2848,2854,0,1,0
21527041,191,213,0,1,0
21527041,280,294,1,0,0
21527041,520,534,1,1,0
21527041,606,617,1,1,0
21527041,1602,1615,1,1,0
21672201,4277,4300,0,1,0
21672201,4305,4313,0,1,0
22515939,2059,2064,1,0,0
22515939,2249,2254,1,1,0
22515939,2296,2302,1,1,0
22515939,2425,2433,0,1,0
22665582,214,228,1,0,0
22665582,1332,1346,1,1,0
22665582,1555,1559,0,0,0
22665582,1710,1724,1,1,0
22791498,117,127,1,1,1
22791498,1346,1358,1,1,1
22791498,1862,1876,1,1,1
22791498,1975,1985,1,1,1
23312850,399,415,1,1,0
23312850,1216,1233,0,1,0
23312850,1986,2003,0,1,0
24518095,108,121,1,1,1
24518095,1795,1803,1,1,1
24518095,1863,1876,1,1,0
24518095,1976,1990,1,1,1
24898994,2053,2073,0,1,0
25246819,753,775,0,0,0
25246819,1171,1193,0,0,0
25246819,1797,1819,0,0,0
25295501,106,110,1,1,1
25295501,498,511,1,1,0
25295501,758,771,1,1,0
25295501,878,892,1,1,0
25295501,1059,1074,1,1,0
26228535,79,92,1,0,0
26228535,142,161,0,1,0
26228535,1884,1896,1,1,0
26309459,1919,1933,0,1,0
26309459,1995,2003,0,0,0
26309459,2225,2238,1,1,0
26327988,92,101,1,1,1
26327988,603,615,1,1,1
26327988,1745,1769,0,0,0
26361640,1906,1925,1,1,0
26444414,1139,1158,0,0,0
26474553,120,135,0,1,0
26474553,569,583,0,0,0
26474553,1124,1137,1,1,0
26474553,1152,1166,1,1,0
26474553,1278,1292,1,0,0
26474553,1382,1395,1,1,0
26474553,1404,1418,1,0,0
26530965,1069,1086,1,0,0
26530965,1617,1631,1,0,0
26530965,1746,1761,1,1,0
26530965,1816,1829,1,1,0
26584481,2602,2618,1,1,0
26656340,367,378,0,0,0
26664317,231,248,1,1,0
26664317,761,774,1,1,0
26664317,2465,2479,1,1,0
26675562,236,240,1,1,1
26675562,1879,1893,1,1,0
26683938,2908,2915,0,0,0
27004009,2600,2610,0,1,0
27004009,2731,2747,1,1,0
27004009,2886,2896,0,1,0
27196481,52,65,1,1,1
27196481,553,568,1,1,0
27196481,2116,2130,1,1,0
27683825,261,274,0,0,0
27683825,346,355,0,0,0
27683825,398,412,0,0,0
27683825,586,594,0,0,0
27683825,1084,1099,0,0,0
27793101,240,254,1,1,0
27793101,2206,2218,0,1,0
27793101,2275,2290,0,1,0
27793101,2400,2414,0,1,0
27842595,872,885,1,1,0
27842595,2325,2340,1,1,0
27842595,2435,2450,1,1,0
27846860,122,136,1,0,0
27846860,3052,3067,1,1,0
27906105,1944,1957,0,0,0
28151882,2716,2722,0,0,0
28151882,2865,2877,1,1,0
28151882,2985,2998,1,1,0
28151882,3127,3139,0,0,0
28151882,3141,3153,1,0,0
28151882,3169,3181,1,1,0
28151882,3348,3362,1,1,0
28151882,3398,3410,0,0,0
28151882,3412,3424,1,0,0
28151882,3440,3452,1,0,0
28190872,175,190,1,1,0
28190872,412,427,1,1,0
28190872,579,589,0,0,0
28190872,700,716,1,1,0
28190872,2198,2203,1,1,0
28190872,2573,2582,0,1,0
28190872,2587,2598,0,1,0
28202869,192,196,1,1,1
28202869,341,345,1,1,1
28202869,410,414,1,1,1
28202869,568,572,1,1,1
28202869,788,800,1,1,1
28202869,2805,2821,1,1,0
28202869,3072,3087,1,1,0
28216610,2411,2423,0,1,0
28239141,286,303,1,1,0
28239141,2243,2261,1,1,0
28250406,812,830,1,1,0
28250406,899,917,1,1,0
28250406,2660,2676,1,1,0
28296775,288,303,1,1,0
28321073,1314,1319,1,1,1
28321073,1367,1375,0,0,0
28321073,1381,1400,0,0,0
28321073,1473,1478,1,1,1
28321073,3256,3269,0,1,0
28353556,563,570,1,1,0
28353556,1605,1617,1,1,0
28353556,1687,1703,1,1,0
28353556,2657,2663,0,1,0
28353604,69,78,1,1,1
28353604,1437,1447,1,1,1
28353604,2256,2270,1,1,1
28353604,3579,3595,0,1,1
28353604,3979,3991,1,1,1
28353604,4455,4471,1,1,0
28353604,4656,4669,0,1,1
28422883,125,129,1,1,1
28422883,322,330,1,1,1
28422883,582,594,1,1,1
28422883,1001,1016,1,1,0
28422883,2943,2972,0,0,0
