doc_id,begin,end,Rules,TBM,LLM
15939911,154,180,0,1,0
15939911,238,250,0,1,1
15939911,326,350,0,1,1
15939911,542,553,1,1,1
15939911,1002,1010,0,1,0
15939911,1028,1040,0,0,0
15939911,1243,1257,0,0,0
15939911,1471,1495,0,0,0
18258107,1364,1369,0,0,0
18258107,1374,1380,0,0,0
18258107,2185,2231,0,0,0
18258107,2532,2541,0,0,0
18416479,470,485,0,1,1
18416479,486,497,0,1,1
18416479,1118,1131,0,0,0
18416479,1381,1389,0,0,0
18416479,1632,1640,0,0,0
18416479,2508,2517,0,1,1
18416479,2580,2585,0,0,0
18416479,2675,2687,0,0,1
19009665,492,502,0,1,1
19009665,511,529,0,1,0
19009665,642,650,1,1,0
19009665,651,658,0,1,0
19009665,1012,1018,0,0,1
19009665,1153,1159,0,1,1
19009665,1160,1165,1,1,0
19009665,1258,1267,0,1,0
19009665,1268,1277,0,1,1
19009665,1364,1372,1,1,1
19009665,1373,1380,0,1,0
19009665,1381,1389,0,1,0
19009665,1390,1402,0,1,1
19009665,1638,1647,0,0,1
19009665,1750,1771,0,1,0
19009665,1791,1799,1,1,1
19009665,1800,1812,0,1,1
19009665,1813,1826,0,1,1
19009665,1879,1890,0,1,0
19009665,2052,2063,0,0,0
19009665,2097,2104,0,0,1
19860007,200,229,0,0,0
19860007,487,502,0,1,1
19860007,517,550,0,0,0
19860007,681,706,0,0,1
19860007,707,714,0,1,0
19860007,803,823,0,0,0
19860007,846,885,0,0,0
19860007,1011,1018,0,1,0
19860007,1019,1027,0,1,0
19860007,1074,1085,0,1,0
19860007,1191,1243,0,0,0
19860007,1250,1270,0,0,0
19860007,1286,1294,0,0,0
19860007,1315,1357,0,0,0
19860007,1407,1418,0,1,1
19860007,1420,1427,0,1,1
19860007,1445,1499,0,0,0
19860007,1635,1656,0,0,0
19860007,1674,1679,0,0,0
19860007,2065,2078,0,1,1
21067996,229,259,0,0,0
21067996,353,365,0,1,0
21067996,418,445,0,0,0
21067996,448,455,0,1,0
21067996,479,489,0,0,0
21067996,499,533,0,1,0
21067996,535,568,0,1,0
21067996,630,643,1,1,1
21067996,721,754,0,0,0
21527041,164,176,0,1,1
21527041,414,446,0,0,0
21527041,668,686,0,0,0
21527041,819,824,0,0,0
21527041,991,1006,0,1,0
21527041,1043,1063,0,0,0
21527041,1068,1077,0,1,0
21527041,1156,1164,0,1,0
21527041,1194,1206,0,1,1
21527041,1283,1288,0,1,1
21527041,1290,1299,0,0,1
21527041,1304,1309,0,1,1
21527041,1509,1515,1,0,0
21527041,1516,1524,0,0,0
21527041,1541,1548,0,1,0
21672201,135,147,0,0,1
21672201,516,523,0,0,0
21672201,772,781,1,1,1
21672201,828,839,1,1,1
21672201,951,959,0,1,1
21672201,1072,1093,0,0,0
21672201,1248,1296,0,0,0
21672201,1303,1313,0,1,0
21672201,1394,1409,0,1,1
21672201,2694,2704,0,1,0
21672201,2741,2750,0,0,1
21672201,2926,2943,0,0,0
21672201,3041,3055,0,1,0
21672201,3124,3131,1,0,0
21672201,3161,3172,0,1,0
21672201,3226,3236,0,0,0
21672201,3601,3611,0,0,1
