doc_id,begin,end,Rules,TBM,LLM
15939911,353,373,1,1,1
15939911,408,425,1,1,1
15939911,427,430,1,1,1
15939911,448,460,0,1,0
15939911,587,603,1,1,0
15939911,1011,1027,1,1,0
15939911,1167,1191,0,1,1
15939911,1197,1204,0,1,0
15939911,1401,1404,1,1,1
15939911,1424,1435,0,1,0
15939911,1456,1467,0,0,0
18258107,605,625,1,1,1
18258107,690,712,0,1,1
18258107,755,770,0,1,1
18258107,807,818,0,0,0
18258107,853,868,0,1,1
18258107,937,944,1,1,1
18258107,949,956,0,1,1
18258107,1004,1014,0,1,1
18258107,1162,1187,0,0,1
18258107,1241,1251,1,1,1
18258107,1256,1286,0,1,1
18258107,1321,1335,0,1,1
18258107,1399,1407,0,1,0
18258107,1418,1430,0,1,0
18258107,1445,1472,0,1,0
18258107,1520,1544,0,1,1
18258107,1594,1630,0,1,1
18258107,1949,1973,0,0,0
18258107,2043,2062,0,1,1
18258107,2334,2361,0,1,1
18416479,192,215,0,1,0
18416479,232,259,0,0,1
18416479,264,267,0,1,1
18416479,289,317,0,1,1
18416479,319,336,0,0,1
18416479,341,352,0,0,0
18416479,341,358,0,0,0
18416479,382,409,0,1,1
18416479,421,436,0,0,0
18416479,934,948,1,1,1
18416479,1347,1376,0,1,1
18416479,1408,1414,1,1,0
18416479,1470,1485,1,1,1
18416479,1490,1516,1,1,1
18416479,1592,1603,0,1,0
18416479,1641,1661,0,1,0
18416479,1767,1807,0,0,0
18416479,1822,1871,0,1,1
18416479,1875,1926,0,1,1
18416479,2101,2121,0,1,1
18416479,2126,2144,0,0,0
18416479,2345,2359,1,1,1
18416479,2829,2843,1,1,1
18416479,2988,3002,1,1,1
19009665,226,239,0,1,1
19009665,264,279,1,1,1
19009665,284,303,1,1,1
19009665,305,307,1,1,1
19009665,574,583,0,1,0
19009665,983,991,0,1,0
19009665,1183,1211,0,1,0
19009665,1240,1245,1,1,1
19009665,1347,1349,1,1,0
19009665,1772,1774,1,1,1
19860007,104,130,0,1,1
19860007,131,136,0,0,0
19860007,239,249,0,0,0
19860007,264,282,0,0,0
19860007,396,420,0,1,1
19860007,421,426,0,0,0
19860007,431,456,0,1,1
19860007,457,465,0,0,0
19860007,601,625,1,1,1
19860007,757,776,1,1,1
19860007,967,978,0,1,1
19860007,1535,1577,0,0,0
19860007,1809,1837,0,1,1
19860007,1875,1905,0,1,0
19860007,1950,1953,1,1,0
19860007,2451,2460,0,0,0
19860007,2512,2521,0,0,0
19860007,2714,2725,0,0,0
21067996,103,110,0,0,0
21067996,161,163,1,1,1
21067996,284,306,0,0,0
21067996,571,585,0,0,1
21067996,994,1016,0,1,1
21527041,355,357,1,1,0
21527041,619,628,0,1,0
21527041,733,753,1,1,1
21527041,825,836,0,1,0
21527041,897,906,0,1,1
21527041,954,956,1,1,0
21527041,1165,1175,0,1,0
21527041,1640,1655,0,1,0
21527041,1693,1710,0,1,0
21527041,1734,1762,0,1,1
21527041,1830,1836,0,1,0
21527041,1862,1866,0,1,0
21527041,1896,1908,0,1,0
21527041,1913,1919,0,1,0
21672201,412,424,0,1,0
21672201,429,441,0,1,0
21672201,581,602,0,1,0
21672201,695,715,1,1,1
21672201,869,899,0,0,1
21672201,996,1013,0,1,0
21672201,1015,1017,0,1,1
21672201,1123,1153,0,1,1
21672201,1155,1158,1,1,1
21672201,1519,1527,0,0,0
21672201,1718,1744,1,1,1
21672201,1747,1750,1,1,1
21672201,1837,1871,0,1,1
21672201,1874,1878,1,1,1
21672201,1885,1898,0,1,1
21672201,1913,1926,0,0,0
21672201,1952,1972,1,1,0
21672201,2213,2232,0,1,0
21672201,2253,2280,0,1,0
21672201,2284,2309,0,1,0
21672201,2316,2330,0,1,0
21672201,2336,2353,0,1,0
21672201,2365,2384,0,1,0
21672201,2404,2425,0,1,0
21672201,2427,2459,0,1,1
21672201,2461,2464,1,1,1
