doc_id,begin,end,Rules,TBM,LLM
19009665,320,325,1,1,1
19009665,384,390,1,1,1
19860007,482,486,1,1,1
21527041,221,225,1,1,1
21527041,394,398,1,1,0
21527041,1427,1433,1,1,1
23312850,545,549,1,1,0
23312850,591,595,1,1,0
24898994,223,228,1,0,1
25210224,377,381,1,1,1
25210224,389,395,1,1,1
25295501,194,200,1,1,1
26228535,310,315,0,1,1
26327988,805,810,1,1,1
26361640,1260,1276,0,1,1
26444414,342,346,1,1,1
26444414,419,432,0,1,1
26664317,1958,1972,0,0,0
26664317,2347,2352,1,1,0
27793101,2731,2736,1,1,1
27842595,480,485,1,1,0
28296775,734,741,0,0,1
28296775,1492,1497,1,1,1
28296775,2252,2261,0,0,0
28321073,344,351,1,1,1
28321073,573,586,0,1,1
