doc_id,begin,end,Rules,TBM,LLM
18258107,1823,1839,1,1,1
18416479,621,627,0,0,1
18416479,2215,2220,0,0,1
18416479,2437,2440,0,0,1
18416479,2632,2636,0,0,1
19009665,783,788,0,1,0
19009665,793,797,0,1,0
19009665,1081,1086,0,1,0
19009665,1458,1463,1,1,1
19860007,2657,2690,0,0,0
21067996,343,351,0,1,1
21067996,384,390,0,0,0
21067996,405,416,0,0,0
22515939,792,802,1,1,1
23312850,1832,1847,0,1,1
23312850,1880,1900,0,1,0
23312850,1933,1944,1,1,0
23312850,1968,1973,1,1,1
23312850,2451,2469,0,1,0
24518095,1750,1768,1,1,0
25295501,1046,1057,1,1,0
25926582,898,920,0,0,0
26228535,1097,1106,0,1,0
26228535,1800,1810,1,1,0
26309459,963,975,0,1,1
26309459,991,1002,0,1,1
26309459,1373,1379,1,1,1
26309459,1451,1456,0,1,0
26327988,1710,1718,0,0,0
26474553,76,89,0,0,0
26675562,1621,1630,1,1,0
26683938,2441,2451,1,1,1
27846860,2326,2335,1,1,0
27846860,2367,2370,1,1,1
27846860,2385,2395,0,1,0
28190872,544,555,1,1,0
28190872,601,612,1,1,0
28190872,663,679,1,0,1
28190872,1629,1638,1,1,1
28190872,2288,2299,1,1,0
28190872,2433,2442,1,1,0
28190872,2842,2851,1,1,0
28190872,2923,2934,1,1,0
28190872,3008,3019,1,1,0
28202869,210,215,1,1,1
28202869,232,237,0,1,0
28202869,710,720,1,1,0
28202869,737,747,1,1,0
28202869,2278,2287,1,1,0
28202869,2318,2327,1,1,0
28202869,2353,2382,0,0,0
28202869,2518,2542,0,0,0
28202869,2605,2616,1,1,0
28216610,1697,1712,0,1,0
28216610,1730,1744,0,1,0
28239141,1722,1731,1,1,1
28239141,1793,1799,1,1,1
28239141,2139,2161,0,1,0
28321073,1284,1310,0,1,0
28321073,1336,1363,0,1,0
28321073,3014,3017,0,1,1
28321073,3408,3419,0,1,1
28353556,519,531,1,0,0
28353556,1152,1161,1,1,0
28353556,1182,1191,1,0,0
28353556,1207,1220,1,0,0
28353556,1252,1298,0,0,0
28353556,1322,1357,0,0,0
28353556,1765,1778,1,0,0
28353556,2416,2425,1,1,0
28353556,2446,2455,1,0,0
28353556,2495,2511,0,0,0
28353556,2735,2747,1,0,0
28353556,2765,2776,1,0,0
28353604,1015,1029,1,0,0
28353604,1146,1165,1,0,0
28353604,1938,1957,0,0,0
28353604,1974,1991,0,0,0
28353604,2057,2076,0,0,0
28422883,482,499,0,0,0
28422883,511,527,0,0,0
28422883,529,553,0,0,0
