doc_id,begin,end,Rules,TBM,LLM
15939911,60,66,1,1,1
18258107,252,259,1,1,1
18258107,2462,2475,0,0,0
18416479,998,1011,1,1,1
18416479,2461,2471,0,0,1
18416479,2647,2657,0,0,1
18416479,2739,2749,0,0,1
21672201,4222,4236,0,0,0
22665582,970,979,0,0,0
22791498,198,207,0,0,0
22791498,1283,1291,1,1,1
23312850,78,84,1,1,1
23312850,1905,1912,1,1,1
23312850,1949,1955,1,1,1
23312850,1978,1984,1,1,1
23312850,2474,2481,1,1,1
23897372,151,171,0,0,0
25246819,442,449,1,1,1
25295501,1200,1209,0,1,1
25926582,150,157,1,0,1
25926582,219,227,1,0,1
26228535,1046,1052,1,1,1
26327988,65,78,0,0,0
26361640,141,152,0,1,1
26444414,80,94,1,1,1
26474553,766,773,0,1,1
26530965,768,777,0,1,1
26530965,1301,1310,1,1,1
26530965,2034,2047,0,1,1
26664317,93,113,0,1,1
26664317,614,621,1,1,1
26664317,833,841,0,1,1
26675562,363,370,0,1,1
26675562,1517,1523,0,1,1
26675562,1565,1571,0,1,1
26683938,122,137,0,1,1
26683938,595,608,1,1,1
27004009,122,126,0,1,1
27004009,187,196,0,1,1
27004009,307,322,0,1,1
27842595,53,60,1,1,1
27846860,2400,2406,1,1,1
27906105,184,191,1,1,1
28120581,2987,2997,0,1,1
28151882,54,69,0,1,1
28151882,2482,2493,1,0,1
28151882,2611,2616,1,1,1
28151882,2637,2643,1,1,1
28151882,2675,2681,1,1,1
28151882,2923,2940,0,1,0
28190872,560,574,1,1,1
28190872,2458,2470,0,1,1
28216610,102,111,0,1,1
28216610,358,373,0,1,1
28239141,231,253,0,1,0
28239141,1858,1873,0,0,0
28250406,200,209,0,1,1
28250406,525,539,0,0,0
28250406,692,698,1,1,0
28296775,384,391,1,1,1
28321073,25,32,1,1,0
28321073,1757,1769,0,1,0
28353556,34,41,1,1,0
28353556,1196,1202,1,1,1
28353556,2460,2478,0,1,1
28353556,2516,2523,1,1,1
28353604,1251,1258,1,1,1
28353604,1424,1432,1,1,1
28353604,4321,4332,0,1,1
28353604,4936,4952,0,1,0
28422883,190,208,0,0,0
28422883,249,264,0,1,0
28422883,555,577,0,0,0
