doc_id,begin,end,Rules,TBM,LLM
15939911,20,38,1,1,1
18258107,526,561,0,1,1
18258107,563,600,0,1,0
19009665,195,220,0,1,0
19860007,138,168,1,0,1
21067996,780,852,0,0,0
21527041,27,39,0,1,0
21527041,44,48,0,1,0
21672201,115,130,1,0,1
21672201,157,167,0,0,0
22515939,21,61,0,1,1
23312850,14,22,0,1,0
23897372,35,65,1,1,1
23897372,391,456,0,0,0
24518095,33,60,0,1,1
25210224,22,40,0,1,0
25210224,46,74,0,1,0
25926582,184,227,0,0,0
25926582,233,301,0,0,0
26309459,67,79,0,1,0
26309459,84,99,0,1,0
26327988,29,42,0,0,1
26361640,21,30,1,1,0
26361640,32,42,0,1,0
26361640,69,81,0,1,0
26444414,167,185,1,1,1
26444414,190,215,0,1,0
26474553,23,49,0,0,0
26474553,227,252,0,1,0
26474553,263,281,0,1,0
26474553,286,319,0,0,0
26474553,334,360,0,0,0
26474553,365,423,0,0,0
26584481,51,91,0,0,0
26584481,104,129,0,1,0
26584481,131,147,0,1,0
26584481,153,192,0,0,0
26656340,335,464,0,0,0
26656340,638,746,0,1,0
26656340,748,790,0,0,0
26664317,24,53,0,1,1
26664317,161,248,0,0,0
26664317,250,355,0,0,0
26683938,38,50,0,1,0
26683938,432,528,0,1,0
26683938,622,679,0,1,0
27004009,201,264,0,1,0
27004009,293,302,0,0,0
27683825,123,160,0,0,0
27846860,14,32,1,1,1
27846860,2585,2628,0,1,0
27846860,2633,2708,0,1,0
27846860,2710,2772,0,1,0
27906105,62,104,0,1,1
28120581,32,66,0,0,1
28120581,71,85,0,1,0
28151882,353,457,0,0,0
28190872,82,101,0,0,0
28216610,28,68,0,1,1
28216610,378,392,0,0,0
28216610,403,416,0,0,0
28216610,422,479,0,0,0
28250406,385,440,0,0,0
28250406,786,811,0,0,0
28250406,889,898,0,0,0
28250406,1051,1111,0,0,0
28296775,14,32,1,1,1
28296775,38,50,0,1,0
28296775,212,237,0,0,0
28296775,403,423,0,1,0
28296775,425,435,0,1,0
28296775,441,472,0,1,0
28321073,25,61,0,0,1
28321073,142,185,0,0,0
28353604,100,153,0,1,0
28353604,202,239,0,0,0
28353604,248,272,0,1,0
28353604,847,937,0,0,0
28422883,44,81,0,1,0
28422883,88,120,0,0,0
