doc_id,begin,end,Rules,TBM,LLM
15939911,228,237,1,1,1
15939911,382,394,1,0,0
15939911,441,447,1,1,0
15939911,1414,1423,0,1,1
15939911,1443,1446,0,0,0
15939911,1447,1455,0,0,0
18258107,448,454,1,1,1
18258107,774,784,0,1,1
18258107,796,806,0,0,1
18258107,872,878,1,1,0
18258107,884,911,0,1,0
18258107,916,931,0,1,0
18258107,964,973,0,1,0
18258107,978,988,0,1,0
18258107,1292,1300,1,1,1
18258107,1408,1416,1,1,0
18258107,1431,1439,1,1,0
18258107,1473,1481,1,1,0
18258107,1979,1987,1,1,1
18258107,2429,2435,0,1,1
18416479,223,231,1,1,1
18416479,277,285,0,0,0
18416479,372,380,1,1,1
18416479,968,978,0,1,0
18416479,983,993,0,1,0
18416479,1033,1041,1,1,1
18416479,1047,1057,0,1,0
18416479,1074,1083,0,1,0
18416479,1390,1394,0,1,1
18416479,1617,1626,1,1,0
18416479,2149,2157,1,1,1
18416479,2360,2384,0,0,1
18416479,2499,2503,0,1,1
18416479,2761,2769,0,0,0
18416479,2844,2860,0,0,1
19009665,250,262,1,0,0
19009665,972,982,1,1,0
19009665,1212,1221,1,1,1
19009665,1225,1228,0,1,1
19860007,286,296,1,1,1
19860007,329,349,0,0,0
19860007,1161,1167,0,0,0
19860007,1388,1403,0,1,0
19860007,1617,1622,0,1,0
19860007,1845,1870,0,0,1
19860007,1929,1945,0,1,0
19860007,2355,2365,1,1,0
19860007,2465,2475,0,1,1
19860007,2526,2536,1,0,0
19860007,2730,2738,0,1,1
19860007,2742,2752,0,1,1
21067996,610,615,0,0,0
21527041,270,279,0,0,0
21527041,1689,1692,0,1,0
21527041,1712,1720,0,1,0
21527041,1789,1814,0,0,0
21527041,1838,1846,1,1,0
21527041,1872,1880,1,1,0
21527041,2088,2101,0,0,0
21672201,442,448,0,0,1
21672201,603,606,0,1,0
21672201,978,995,0,0,0
21672201,1029,1032,0,0,0
21672201,1528,1534,1,1,0
21672201,1833,1836,0,1,0
21672201,1880,1883,0,1,1
21672201,1899,1911,0,1,1
21672201,1928,1937,0,1,1
21672201,1980,1986,1,1,1
21672201,2667,2671,1,1,1
21672201,4133,4137,1,1,0
21672201,4181,4191,1,1,0
21672201,4366,4367,0,1,0
21672201,4373,4378,0,0,0
21672201,4439,4450,1,1,0
21672201,4497,4500,0,1,1
22515939,120,133,0,1,0
22515939,243,270,0,1,0
22515939,1032,1067,0,0,0
22515939,1329,1333,0,1,1
22515939,1548,1559,0,1,0
22515939,1958,1966,1,1,1
22515939,2174,2189,0,0,0
22515939,2350,2354,0,1,0
22515939,2396,2402,1,1,0
22665582,346,377,0,0,0
22665582,428,434,1,1,0
22665582,512,521,1,0,1
22665582,1110,1116,1,1,0
22665582,1211,1217,1,1,0
22665582,1279,1282,0,1,1
22665582,1292,1300,0,0,0
22665582,1321,1331,0,1,1
22665582,1436,1444,1,1,1
22665582,1748,1779,0,0,0
22791498,446,458,0,0,0
22791498,490,499,0,1,1
22791498,514,518,0,1,1
22791498,587,591,0,1,1
22791498,683,699,0,0,0
22791498,740,745,0,1,0
22791498,751,758,1,1,1
22791498,763,767,0,1,1
22791498,797,803,1,1,1
22791498,839,865,0,0,0
22791498,972,979,0,0,0
22791498,1099,1108,1,1,1
22791498,1123,1132,1,1,1
22791498,1410,1419,1,1,1
22791498,1483,1500,0,1,1
22791498,1530,1561,0,1,0
22791498,1624,1641,0,0,1
22791498,1674,1700,0,1,0
22791498,1723,1743,0,1,1
22791498,1804,1822,0,0,0
22791498,1845,1849,0,0,0
22791498,1854,1858,0,0,0
22791498,1915,1935,0,0,0
22791498,1958,1962,0,0,0
22791498,1967,1971,0,0,0
22791498,2015,2061,0,0,0
23312850,146,151,0,1,1
23312850,166,171,0,1,1
23312850,209,215,1,1,1
23312850,323,329,0,1,1
23312850,339,340,0,1,1
23312850,373,376,0,1,1
23312850,472,488,0,1,0
23312850,554,570,0,1,0
23312850,925,929,0,0,0
23312850,959,962,0,0,0
23312850,1015,1021,1,1,1
23312850,1142,1154,1,1,1
23312850,1188,1190,0,0,1
23312850,1260,1268,1,1,1
23312850,1348,1367,0,1,0
23312850,1389,1391,0,1,1
23312850,1432,1434,0,1,1
23312850,1740,1748,1,1,1
23312850,2174,2180,1,1,1
23312850,2224,2236,0,0,0
23312850,2377,2385,1,1,1
23897372,483,495,1,1,0
23897372,753,759,1,1,0
23897372,931,940,0,1,0
23897372,962,965,0,1,1
23897372,967,975,1,1,1
23897372,1015,1023,0,0,0
23897372,1028,1036,1,1,0
23897372,1138,1144,1,1,0
23897372,1352,1358,1,1,1
23897372,1595,1603,1,1,1
23897372,1680,1688,1,1,1
23897372,1711,1720,0,0,0
23897372,1750,1758,1,1,1
23897372,1780,1791,0,0,0
23897372,1835,1851,0,1,1
23897372,1905,1913,0,1,1
23897372,1935,1939,0,1,1
23897372,2455,2461,0,1,1
24518095,232,245,0,1,0
24518095,1208,1233,0,1,0
24518095,1249,1309,0,0,0
24518095,1314,1395,0,1,0
24518095,1464,1486,0,0,1
24518095,1595,1680,0,0,0
24898994,435,449,0,0,0
24898994,1206,1214,0,1,0
24898994,1578,1588,0,0,0
24898994,1638,1645,0,1,0
24898994,1681,1694,0,1,0
25210224,311,317,0,1,0
25210224,335,341,0,0,0
25210224,717,724,0,1,0
