doc_id,begin,end,Rules,TBM,LLM
18258107,347,358,0,1,1
18258107,1085,1096,1,1,1
18258107,1098,1108,1,1,1
18258107,1114,1124,1,1,1
18258107,1772,1793,0,0,1
18258107,1809,1821,0,1,1
18258107,2479,2509,0,0,0
18258107,2542,2554,0,1,0
18416479,599,619,0,1,1
18416479,1214,1224,1,1,0
18416479,2201,2213,1,1,1
18416479,2263,2279,0,0,1
18416479,2294,2310,0,0,0
18416479,2386,2399,0,0,0
18416479,2417,2435,1,1,1
18416479,2601,2630,0,1,1
18416479,2703,2735,0,0,0
18416479,2793,2805,1,1,1
18416479,2910,2919,1,1,1
19009665,709,720,1,1,0
19009665,722,733,0,1,0
19009665,735,754,0,1,0
19009665,759,767,0,1,0
19009665,805,812,0,0,0
19009665,1464,1477,1,1,1
19860007,2552,2573,0,0,0
19860007,2579,2591,0,1,1
21067996,317,342,0,0,1
21067996,394,403,0,1,1
21672201,2065,2075,0,0,0
21672201,2151,2167,0,1,1
21672201,2169,2181,0,1,1
21672201,2183,2191,1,1,1
21672201,2196,2211,0,1,1
21672201,4076,4093,0,0,0
21672201,4105,4114,0,1,1
21672201,4119,4127,0,1,1
22515939,818,825,1,1,1
22791498,258,268,1,1,1
22791498,270,288,0,1,1
22791498,290,300,0,1,1
22791498,302,320,0,1,1
22791498,322,332,1,1,1
22791498,334,346,0,1,1
22791498,351,375,0,1,1
22791498,1242,1252,0,1,1
22791498,1425,1435,0,0,0
22791498,2066,2076,0,1,1
23312850,1820,1831,1,1,1
23312850,1870,1879,1,1,1
23312850,1922,1932,1,1,0
23312850,2440,2449,1,1,1
23312850,2487,2495,1,1,1
23897372,2267,2279,1,1,0
23897372,2285,2294,0,1,1
23897372,2299,2312,1,1,1
23897372,2377,2386,1,1,1
23897372,2388,2398,0,1,0
23897372,2403,2417,1,1,1
24518095,470,482,1,1,0
24518095,488,499,1,1,1
24518095,504,513,1,1,1
24518095,836,846,0,1,1
24518095,851,861,0,1,1
24518095,1738,1748,0,1,1
24518095,1927,1937,0,1,1
25295501,684,695,1,1,1
25295501,700,710,1,1,1
25295501,711,723,1,1,0
25295501,998,1008,0,1,0
25295501,1237,1247,0,1,1
25926582,886,897,0,1,1
26228535,1067,1082,0,1,1
26228535,1084,1095,0,1,1
26228535,1772,1783,0,1,1
26309459,917,933,1,1,1
26309459,948,962,1,1,1
26309459,980,990,1,1,1
26309459,1310,1323,1,0,0
26309459,1383,1403,0,1,1
26309459,1421,1449,0,0,0
26309459,1460,1470,0,1,1
26309459,1975,1991,0,1,1
26309459,2051,2065,0,1,1
26327988,54,64,0,1,1
26327988,287,298,1,1,1
26327988,303,320,0,0,0
26327988,514,533,0,0,0
26327988,1637,1651,1,0,1
26327988,1684,1696,1,1,1
26361640,253,264,1,1,0
26361640,274,283,0,1,1
26361640,285,295,1,1,1
26361640,300,310,0,1,1
26361640,1822,1837,1,1,1
26444414,1235,1244,0,0,0
26474553,65,74,0,1,1
26474553,777,786,0,1,1
26474553,991,1020,0,0,0
26474553,1296,1305,0,1,1
26474553,1422,1431,0,1,1
26530965,581,592,0,1,1
26530965,597,622,0,0,0
26530965,699,711,1,1,0
26530965,735,744,1,1,1
26530965,749,760,0,1,1
26530965,965,974,1,1,1
26530965,979,990,0,1,1
26530965,1241,1250,0,1,1
26530965,1255,1267,0,1,1
26584481,1090,1100,0,1,0
26584481,1105,1114,1,1,1
26584481,2088,2104,0,1,1
26584481,2125,2136,0,1,1
26664317,1276,1285,1,1,1
26675562,822,830,1,1,1
26675562,835,844,1,1,1
26675562,1594,1602,1,1,1
26675562,1607,1617,0,1,1
26683938,554,563,1,1,1
26683938,1806,1817,1,1,1
26683938,1843,1851,1,1,1
26683938,2405,2413,1,1,1
26683938,2418,2439,0,0,0
26683938,2461,2469,1,1,0
26683938,2486,2501,0,1,0
26683938,2746,2754,1,1,1
27004009,2658,2674,0,1,0
27196481,479,486,1,1,1
27196481,488,499,0,1,1
27196481,2088,2110,0,1,0
27842595,2217,2231,1,1,1
27842595,2233,2237,0,1,1
27842595,2240,2250,0,1,1
27842595,2256,2267,1,1,1
27842595,2269,2275,0,1,1
27846860,2347,2365,1,1,1
27906105,1993,2005,1,1,0
28120581,894,909,1,1,1
28120581,915,929,1,1,1
28151882,179,190,0,1,1
28151882,1369,1387,0,1,0
28151882,2586,2596,1,1,0
28151882,2618,2632,0,1,1
28151882,2649,2662,1,0,0
28190872,533,543,1,1,1
28190872,683,693,1,1,1
28190872,758,768,1,1,1
28190872,807,827,0,1,1
28190872,1651,1664,1,1,1
28190872,2260,2273,1,1,1
28190872,2277,2287,1,1,1
28190872,2443,2453,1,1,1
28190872,2852,2862,1,1,1
28190872,2864,2876,1,1,1
28190872,2897,2907,1,1,1
28190872,2973,2983,1,1,1
28202869,219,231,1,1,1
28202869,574,590,1,1,1
28202869,597,622,0,1,1
28202869,724,732,0,1,1
28202869,751,760,0,1,1
28202869,2169,2177,0,1,1
28202869,2182,2191,0,1,1
28202869,2267,2276,1,1,1
28202869,2291,2301,1,1,1
28202869,2331,2341,0,1,1
28202869,2386,2395,0,1,1
28202869,2512,2516,0,1,1
28202869,2575,2587,1,1,1
28202869,2790,2794,0,1,0
