doc_id,begin,end,Rules,TBM,LLM
18258107,120,131,0,1,1
18258107,276,287,0,1,1
18258107,404,418,1,1,1
18258107,2258,2269,0,1,1
18416479,38,46,0,1,1
19009665,40,63,0,0,1
19009665,71,120,0,1,1
19860007,38,46,0,1,1
21067996,200,211,0,1,1
21527041,65,98,0,0,0
21527041,324,338,1,1,0
21527041,723,731,0,1,0
21672201,39,57,0,1,1
21672201,242,250,1,1,1
22515939,1655,1669,1,1,1
22515939,2274,2278,0,1,1
22515939,2463,2471,1,1,1
22665582,45,76,0,1,1
22665582,939,959,0,1,1
22791498,1046,1070,0,1,0
23897372,199,216,1,1,1
24518095,77,104,0,1,1
24518095,651,673,0,1,1
25210224,95,118,0,1,1
25210224,221,272,0,0,0
25246819,1211,1219,1,1,1
25926582,37,79,0,1,0
25926582,650,665,0,1,0
26309459,118,121,1,1,1
26584481,218,226,0,1,1
26656340,242,264,0,1,1
26664317,794,802,1,1,1
26664317,867,877,0,1,1
26675562,410,418,1,1,1
27004009,38,69,0,1,1
27196481,40,48,0,1,1
27793101,2259,2267,1,1,1
27793101,2342,2356,1,1,1
27842595,37,45,1,1,1
27846860,62,70,0,1,1
27846860,249,270,0,1,1
27846860,427,435,0,1,1
27906105,2012,2035,0,1,1
28120581,1161,1183,0,0,0
28151882,918,926,1,0,1
28151882,2822,2825,0,0,0
28151882,2973,2981,1,1,1
28190872,119,127,0,1,1
28190872,441,460,0,1,1
28190872,1106,1126,1,1,1
28190872,1693,1707,1,1,1
28190872,1709,1711,0,1,0
28190872,1852,1854,0,1,0
28190872,2097,2124,0,1,1
28190872,2549,2553,0,1,1
28202869,882,890,0,1,1
28216610,86,94,0,1,1
28239141,51,71,1,1,1
28239141,73,75,1,1,1
28239141,500,502,1,1,1
28239141,1979,1987,1,1,1
28250406,34,62,0,0,1
28250406,66,79,0,0,1
28250406,83,88,0,0,1
28250406,90,117,0,0,0
28250406,337,341,0,0,0
28250406,673,687,0,1,1
28250406,721,733,1,0,1
28250406,851,861,0,0,0
28296775,68,88,1,1,1
28321073,74,82,0,1,1
28353556,1584,1603,1,1,1
28353604,328,364,0,1,1
28353604,1464,1501,0,0,1
28353604,1505,1510,0,0,1
28353604,2287,2314,0,0,1
28353604,2318,2323,0,1,1
28353604,4010,4018,1,1,1
