doc_id,begin,end,Rules,TBM,LLM
18258107,722,728,1,1,1
18258107,2369,2375,1,1,1
18416479,805,814,0,0,0
18416479,900,909,0,0,0
18416479,2528,2532,1,1,1
19009665,1617,1624,0,1,1
21067996,1032,1041,1,1,0
21527041,793,797,1,1,1
21672201,911,921,1,1,1
21672201,1486,1492,1,1,1
21672201,1541,1545,1,1,1
21672201,2647,2653,1,1,1
21672201,4410,4416,1,1,1
22515939,72,78,1,1,1
22665582,618,627,1,0,0
22665582,883,891,0,0,0
22665582,1587,1595,0,0,0
22665582,1666,1674,0,0,0
22791498,54,60,1,1,1
23312850,279,284,0,1,0
23312850,775,779,1,1,1
23312850,1493,1502,1,1,0
23897372,685,696,0,1,0
23897372,800,807,0,1,1
23897372,2046,2054,0,1,0
23897372,2119,2127,0,0,1
25210224,864,871,0,1,0
25210224,972,976,0,0,0
25210224,2382,2387,0,1,1
25246819,2251,2255,0,1,0
25246819,2259,2271,0,1,0
26228535,163,173,0,0,0
26228535,301,308,1,1,1
26228535,1240,1248,0,1,0
26228535,1486,1492,0,1,1
26309459,1125,1134,1,1,0
26309459,1203,1209,1,1,1
26327988,1125,1129,0,1,0
26444414,62,68,1,1,0
26474553,449,453,1,1,1
26584481,958,962,1,1,1
26664317,968,972,1,1,1
26664317,1075,1081,1,1,1
26664317,1219,1225,1,1,1
26664317,1596,1603,0,1,1
26664317,1641,1647,1,1,1
26675562,324,328,1,1,1
26675562,462,468,1,1,1
26675562,1122,1128,1,1,1
26675562,1357,1363,1,1,1
26683938,731,735,1,1,1
26683938,2361,2367,1,1,1
27004009,152,159,0,1,0
27004009,584,589,0,1,0
27004009,2434,2442,0,0,0
27683825,301,308,0,0,0
27683825,863,867,1,1,1
27683825,1183,1189,1,1,1
27683825,1386,1390,1,1,1
27683825,1429,1438,1,1,1
27793101,184,190,1,1,1
27793101,587,592,0,1,0
27793101,1142,1147,0,1,1
27793101,1325,1330,0,1,1
27793101,1999,2004,0,1,1
27793101,3207,3212,0,1,0
27842595,126,130,0,1,0
27842595,435,440,0,1,0
27842595,620,626,1,1,1
27842595,949,956,1,1,1
27842595,1166,1170,0,1,1
27846860,178,184,1,1,1
27846860,500,508,1,1,1
27846860,586,590,1,1,1
27846860,2089,2097,1,1,1
27846860,2215,2224,1,0,0
27846860,3014,3022,0,0,1
28120581,226,234,0,1,1
28120581,389,395,1,1,1
28120581,678,684,1,1,1
28120581,1983,1993,0,0,0
28120581,2356,2362,1,1,1
28151882,93,99,1,1,1
28202869,1086,1092,1,1,1
28202869,1235,1241,1,1,1
28216610,1087,1096,1,1,0
28216610,1222,1227,0,1,1
28216610,1317,1321,0,0,1
28296775,1639,1647,1,1,1
28296775,2574,2581,1,1,1
28321073,1676,1682,1,1,1
28353556,837,841,1,1,1
28353556,1933,1937,1,1,1
28353556,2151,2160,0,0,0
28353604,479,485,1,1,1
28353604,2472,2476,1,1,1
28353604,3917,3926,0,0,0
28353604,4385,4401,0,1,0
28422883,148,154,1,1,1
28422883,967,973,1,1,1
