doc_id,begin,end,Rules,TBM,LLM
15939911,39,42,1,1,1
18258107,48,51,1,1,1
18416479,14,17,1,1,1
19009665,14,19,1,1,1
19860007,14,17,1,1,1
21067996,14,17,1,1,1
21527041,15,21,1,1,1
21672201,16,21,1,1,1
22515939,14,20,1,1,1
22791498,14,17,1,1,1
23312850,23,28,1,1,1
23897372,24,29,1,1,1
24518095,22,25,1,1,1
24898994,2,7,1,1,1
25210224,13,16,1,1,1
25246819,14,19,1,1,1
25295501,29,34,1,1,1
25926582,14,19,1,1,1
26228535,14,20,1,1,1
26309459,14,17,1,1,1
26361640,14,20,1,1,1
26444414,14,17,1,1,1
26474553,14,17,1,1,1
26530965,14,19,1,1,1
26584481,37,42,1,1,1
26656340,212,218,1,1,1
26664317,14,17,1,1,1
26675562,30,33,1,1,1
26683938,14,19,1,1,1
27004009,14,17,1,1,1
27196481,14,17,1,1,1
27683825,29,34,1,1,1
27793101,14,18,1,1,1
27842595,14,19,1,1,1
27846860,41,44,1,1,1
27906105,49,54,1,1,1
28120581,17,23,1,1,1
28151882,14,19,1,1,1
28190872,31,37,1,1,1
28202869,23,28,1,1,1
28216610,23,27,1,1,1
28239141,29,33,1,1,1
28250406,14,17,1,1,1
28296775,33,37,1,1,1
28321073,14,17,1,1,1
28353556,23,26,1,1,1
28353604,14,17,1,1,1
28422883,14,18,1,1,1
