doc_id,begin,end,Rules,TBM,LLM
15939911,31,38,0,0,0
15939911,78,90,1,1,1
15939911,206,213,0,1,1
15939911,261,281,0,0,0
15939911,467,513,0,1,0
15939911,680,699,0,0,1
15939911,911,920,0,1,0
15939911,969,980,0,1,0
15939911,1078,1100,0,1,1
15939911,1105,1112,0,1,1
15939911,1631,1643,1,1,1
18258107,163,166,0,1,0
18258107,172,177,1,1,1
18258107,179,190,0,1,1
18258107,192,200,1,1,1
18258107,202,208,1,1,1
18258107,214,222,0,1,1
18258107,360,378,0,0,0
18258107,439,444,1,1,1
18258107,456,471,0,1,1
18258107,473,481,1,1,1
18258107,495,502,1,1,0
18258107,634,643,0,1,1
18258107,648,662,0,1,1
18258107,672,686,0,1,1
18258107,729,744,0,1,1
18258107,1029,1057,0,0,0
18258107,1212,1221,0,0,0
18258107,1341,1360,0,1,0
18258107,1386,1394,0,0,0
18258107,1499,1516,0,0,0
18258107,1560,1592,0,0,0
18258107,1659,1724,0,0,0
18258107,1729,1770,0,0,0
18258107,1908,1920,0,1,1
18258107,2104,2122,0,0,0
18258107,2376,2427,0,1,0
18258107,2625,2646,0,0,0
18258107,2661,2669,0,1,0
18416479,75,92,0,0,0
18416479,815,833,0,1,0
18416479,910,928,0,1,0
18416479,1135,1151,1,1,0
18416479,1264,1271,1,1,1
18416479,1276,1293,0,1,1
18416479,1424,1444,0,1,0
18416479,1453,1468,0,1,0
18416479,1528,1537,0,0,0
18416479,1549,1561,1,1,1
18416479,1563,1570,1,1,1
18416479,1576,1586,0,1,1
18416479,1962,1972,0,1,0
18416479,1974,1982,0,1,0
18416479,1984,1992,0,1,0
18416479,1994,2004,0,1,0
18416479,2006,2015,0,1,0
18416479,2017,2026,0,1,0
18416479,2028,2039,0,1,0
18416479,2041,2052,0,1,0
18416479,2054,2065,0,1,0
18416479,2067,2078,0,1,0
18416479,2084,2095,0,1,0
18416479,2315,2322,1,1,1
18416479,2533,2539,1,1,1
18416479,2866,2904,0,0,0
18416479,3060,3078,0,1,0
19009665,163,167,1,1,1
19009665,172,183,1,1,1
19009665,326,330,1,1,1
19009665,391,395,1,1,1
19009665,616,636,0,1,0
19009665,659,665,1,1,0
19009665,945,949,1,1,1
19009665,1166,1174,1,1,1
19009665,1278,1285,0,1,1
19009665,1403,1412,0,1,1
19009665,1625,1633,1,1,1
19009665,1648,1666,0,1,1
19009665,1681,1687,1,1,1
19009665,1692,1700,1,1,1
19009665,1713,1722,1,1,1
19009665,1740,1748,1,1,1
19009665,1827,1834,1,1,1
19009665,1865,1875,0,0,1
19009665,1951,1959,1,1,1
19009665,2105,2113,1,1,1
19860007,192,199,1,1,1
19860007,503,507,1,1,1
19860007,798,802,1,1,1
19860007,890,908,0,0,0
19860007,986,1009,0,0,0
19860007,1168,1175,1,1,1
19860007,1428,1439,0,1,0
19860007,1747,1757,1,1,0
19860007,2795,2805,1,1,1
19860007,2809,2827,0,0,0
21067996,23,34,1,1,1
21067996,36,42,1,1,1
21067996,44,52,1,1,1
21067996,68,72,1,1,0
21067996,660,664,1,1,1
21067996,969,973,1,1,1
21527041,27,39,0,0,0
21527041,117,121,1,1,1
21527041,126,137,1,1,1
21527041,177,190,0,1,1
21527041,234,239,1,1,1
21527041,265,269,1,1,0
21527041,382,387,1,1,0
21527041,546,557,0,0,0
21527041,581,595,0,0,0
21527041,657,662,1,1,0
21527041,777,787,1,1,1
21527041,805,813,0,0,1
21527041,863,876,1,1,1
21527041,929,934,1,1,0
21527041,940,952,0,1,1
21527041,1007,1013,1,1,0
21527041,1078,1086,0,1,0
21527041,1207,1211,1,1,1
21527041,1310,1325,0,1,0
21527041,1415,1420,1,1,1
21527041,1672,1683,0,1,1
21672201,341,363,0,0,0
21672201,620,649,0,0,0
21672201,665,690,0,1,0
21672201,718,765,0,0,0
21672201,782,788,1,1,1
21672201,922,929,1,1,0
21672201,1056,1063,1,1,0
21672201,1094,1113,0,1,0
21672201,1173,1195,0,1,1
21672201,1232,1244,0,0,0
21672201,1436,1445,0,1,0
21672201,1493,1504,1,1,1
21672201,1546,1559,0,1,1
21672201,1620,1629,0,0,0
21672201,1783,1803,0,1,0
21672201,2654,2665,0,1,0
21672201,3132,3136,0,1,0
21672201,3195,3199,0,0,0
21672201,3783,3801,0,1,0
21672201,4417,4424,1,1,0
22515939,1078,1105,0,1,1
22515939,1519,1527,0,0,0
22515939,2132,2145,0,1,1
22665582,82,91,1,1,1
22665582,93,101,1,1,1
22665582,160,164,1,1,1
22665582,196,212,1,0,0
22665582,265,280,0,0,0
22665582,396,420,0,1,0
22665582,505,511,1,1,0
22665582,640,649,1,1,1
22665582,663,667,1,1,1
22665582,698,714,1,0,0
22665582,776,783,0,1,0
22665582,1515,1534,0,0,0
22665582,1796,1808,0,1,0
22791498,186,197,0,1,0
22791498,543,555,1,1,0
22791498,651,677,0,0,0
22791498,883,891,1,1,0
22791498,1002,1021,0,0,0
23312850,43,57,0,1,0
23312850,99,109,1,1,1
23312850,113,121,1,1,1
23312850,267,272,1,1,1
23312850,297,307,0,1,1
23312850,440,444,1,1,1
23312850,503,507,1,1,1
23312850,646,652,0,1,0
23312850,679,686,0,1,0
23312850,730,741,0,1,1
23312850,766,770,0,1,0
23312850,788,793,1,1,0
23312850,895,906,0,1,1
23312850,1244,1248,1,1,1
23312850,1304,1316,0,1,1
23312850,1327,1331,1,1,1
23312850,1511,1519,1,1,0
23312850,1532,1543,0,1,1
23312850,1573,1587,0,1,0
23312850,2063,2075,0,1,1
23312850,2099,2103,1,1,1
23897372,76,96,0,1,1
23897372,98,105,1,1,1
23897372,110,129,1,1,1
23897372,272,277,1,1,1
23897372,279,288,0,1,1
23897372,311,319,1,1,1
23897372,333,341,1,1,1
23897372,359,367,1,1,1
23897372,523,533,1,1,0
23897372,543,559,0,1,0
23897372,571,579,1,1,1
23897372,623,629,1,1,0
23897372,650,662,1,1,0
23897372,664,680,0,0,0
23897372,707,724,0,1,1
23897372,774,795,0,0,0
23897372,808,828,0,1,1
23897372,914,925,1,1,1
23897372,1236,1255,0,1,1
23897372,1334,1345,1,1,0
23897372,1512,1534,0,0,0
24518095,149,153,1,1,1
24518095,193,203,1,1,0
24518095,414,455,0,1,0
24518095,550,558,1,1,1
24518095,737,743,1,1,1
24518095,899,918,1,1,1
24518095,946,965,0,0,0
24518095,1049,1058,0,1,0
24518095,1823,1846,0,1,0
24518095,1958,1969,0,1,0
24898994,236,240,1,1,1
24898994,289,296,0,0,0
24898994,331,339,1,0,1
24898994,563,569,1,0,1
24898994,888,894,1,1,0
24898994,1155,1166,0,0,0
24898994,1219,1246,0,1,0
24898994,1423,1453,0,1,0
24898994,1938,1946,0,1,1
25210224,678,694,0,1,0
25210224,2560,2576,0,1,0
25210224,3182,3198,0,1,1
25246819,37,41,1,1,1
25246819,99,106,1,1,1
25246819,869,876,1,1,1
25246819,958,965,1,1,1
25246819,1229,1237,1,1,1
25295501,69,73,1,1,1
25295501,485,493,0,1,0
25295501,927,931,1,1,0
25295501,1127,1145,0,0,0
25295501,1225,1233,0,0,0
25295501,1353,1361,1,1,0
25926582,85,93,1,1,1
25926582,100,130,0,0,0
25926582,136,145,1,1,1
25926582,194,205,0,0,0
25926582,233,279,0,0,0
25926582,288,301,0,0,1
25926582,421,425,1,1,0
25926582,565,569,1,1,1
26228535,174,182,1,1,0
26228535,184,192,0,1,1
26228535,317,322,1,1,1
26228535,931,936,1,0,0
26228535,978,987,0,1,0
26228535,1014,1018,1,1,1
26228535,1027,1034,0,0,0
26228535,1231,1239,1,1,0
26228535,1257,1268,1,1,1
26228535,1472,1477,1,0,0
26228535,1493,1504,0,1,0
26228535,1571,1582,0,1,0
26228535,1853,1861,0,1,0
26228535,1873,1883,1,1,0
26228535,2072,2085,0,0,0
26228535,2303,2323,0,1,1
26228535,2368,2385,0,0,1
26228535,2390,2398,1,1,0
26228535,2436,2450,0,1,0
26309459,424,433,0,1,1
26309459,503,517,0,1,0
26309459,522,550,0,0,0
26309459,628,649,0,0,0
26309459,1092,1117,0,1,0
26309459,1135,1143,1,1,1
26309459,1210,1247,0,0,0
26309459,1624,1632,1,1,1
26309459,1695,1705,0,0,1
26309459,1947,1955,0,1,0
26309459,2024,2032,1,1,1
26309459,2109,2119,0,1,1
26327988,129,137,1,1,1
26327988,244,253,0,0,0
26327988,329,340,0,1,0
26327988,427,448,0,0,1
26327988,650,655,1,1,1
26327988,660,674,0,1,1
26327988,693,719,0,0,0
26327988,795,801,0,1,1
26327988,959,965,0,1,1
26327988,1130,1142,1,1,1
26327988,1270,1289,0,0,0
26327988,1358,1368,0,1,0
26327988,1443,1450,0,1,1
26327988,1500,1505,1,1,1
26327988,1583,1593,0,1,0
26327988,1777,1807,0,0,0
26327988,1824,1857,0,0,0
26361640,116,124,1,1,1
26361640,129,137,0,1,1
26361640,171,182,1,1,1
26361640,195,203,0,1,1
26361640,355,363,1,1,1
26361640,1254,1258,1,1,1
26361640,1336,1347,0,1,0
26361640,1445,1455,0,1,1
26444414,42,57,0,0,1
26444414,69,75,1,1,0
26444414,291,299,1,1,1
26444414,361,366,1,1,1
26444414,464,470,1,1,0
26444414,927,932,1,0,1
26444414,1012,1046,0,1,0
26444414,1051,1069,0,1,0
26444414,1167,1179,0,1,1
26444414,1188,1194,1,1,0
26474553,454,474,0,1,0
26474553,510,515,1,1,1
26474553,844,849,1,1,1
26474553,861,878,0,0,1
26474553,911,924,0,1,1
26530965,50,54,1,1,1
26530965,67,71,1,1,1
26530965,73,87,0,1,0
26530965,96,104,0,1,0
26530965,109,121,1,0,0
26530965,651,659,0,0,0
26530965,811,819,1,1,1
26530965,866,876,1,1,0
26530965,1120,1127,1,1,1
26530965,1138,1156,0,1,0
26530965,1282,1296,0,1,0
