doc_id,begin,end,Rules,TBM,LLM
15939911,1258,1266,1,0,0
15939911,1363,1380,0,0,0
18416479,449,460,0,0,0
18416479,696,724,0,1,1
18416479,730,764,0,1,1
18416479,776,800,0,1,1
18416479,3087,3118,0,0,0
19009665,541,545,0,1,1
19009665,1019,1023,0,1,1
19009665,1493,1513,0,1,1
19009665,2064,2068,0,0,0
19860007,1028,1039,1,1,0
19860007,1059,1069,0,0,0
19860007,1086,1103,0,1,0
19860007,2366,2386,0,1,0
21067996,930,948,1,1,1
21527041,459,480,1,1,1
21527041,1525,1536,1,1,0
21527041,1549,1558,0,1,0
21672201,524,531,0,0,0
21672201,2056,2063,1,1,1
21672201,2519,2536,1,1,1
21672201,2552,2574,1,1,1
21672201,2576,2579,0,1,0
21672201,2634,2645,1,1,1
21672201,2673,2676,0,1,1
21672201,2705,2717,0,1,0
21672201,2789,2797,0,1,1
21672201,2909,2915,0,1,0
21672201,2998,3018,0,1,1
21672201,3056,3065,0,1,0
21672201,3080,3088,0,1,0
21672201,3108,3115,0,1,0
21672201,3173,3181,1,1,1
21672201,3209,3217,0,0,0
21672201,3237,3245,1,1,0
21672201,3368,3375,0,1,0
21672201,3431,3439,0,1,0
21672201,3612,3619,1,1,1
21672201,3620,3628,0,0,0
21672201,3689,3695,0,1,0
21672201,3807,3826,0,1,0
21672201,3832,3838,0,1,0
21672201,3900,3907,1,1,0
21672201,3937,3945,0,1,1
21672201,3958,3969,0,0,1
21672201,3997,4006,0,1,1
21672201,4044,4047,0,1,1
21672201,4212,4221,1,1,1
22515939,184,217,0,1,1
22515939,308,312,0,1,0
22515939,399,427,0,0,0
22515939,432,439,0,0,0
22515939,887,894,0,1,0
22515939,948,964,0,1,0
22515939,1260,1282,0,1,1
22515939,1472,1490,0,1,0
22515939,1579,1590,1,1,1
22515939,1792,1800,0,1,0
22515939,1919,1923,0,1,1
22515939,2017,2026,0,1,0
22515939,2035,2041,0,1,0
22515939,2227,2231,0,1,0
22515939,2324,2335,0,0,0
22665582,111,128,0,0,0
22665582,980,990,0,0,0
22665582,1359,1371,0,0,0
22665582,1821,1833,0,0,1
22665582,1850,1859,0,1,1
22791498,230,252,0,0,1
22791498,919,945,0,1,0
22791498,1318,1342,0,1,0
23312850,2123,2129,0,0,0
23897372,1417,1438,0,0,0
23897372,2193,2229,0,1,0
24898994,203,213,1,0,1
24898994,644,656,0,1,1
24898994,671,692,0,1,0
24898994,791,807,0,0,1
24898994,2031,2043,0,0,0
25246819,1015,1028,1,1,0
25246819,1516,1528,0,1,0
25246819,1626,1644,0,1,1
25246819,2522,2532,1,1,0
25246819,2548,2569,0,1,0
25295501,134,147,1,1,0
25295501,165,175,0,1,0
25295501,655,672,1,1,1
25295501,1339,1346,1,1,1
26228535,1340,1349,0,0,0
26228535,1386,1396,1,1,1
26228535,1410,1434,0,1,0
26228535,1541,1557,0,0,1
26309459,894,903,1,1,1
26309459,908,915,0,1,1
26309459,1276,1294,0,1,1
26309459,1502,1530,0,0,1
26309459,1543,1554,0,1,0
26309459,1908,1917,0,1,1
26444414,838,847,1,1,0
26530965,935,943,1,1,1
26530965,1573,1582,0,0,0
26530965,1833,1842,0,0,1
26584481,2026,2035,0,1,0
26584481,2072,2082,0,1,1
26584481,2109,2119,0,1,1
26584481,2148,2169,0,0,0
26584481,2231,2246,0,0,0
26656340,1672,1693,1,1,1
26664317,1474,1493,0,1,0
26664317,1905,1922,0,1,1
26664317,2207,2222,0,1,1
26664317,2259,2265,1,1,0
26664317,2301,2309,0,0,1
26664317,2353,2377,0,1,0
26664317,2395,2404,1,1,1
26664317,2426,2445,0,0,0
26675562,143,165,0,1,0
26675562,171,182,0,1,0
26675562,1156,1165,1,1,1
26675562,1195,1207,0,1,0
26675562,1245,1264,0,0,0
26675562,1439,1452,0,1,0
26675562,1470,1479,0,0,0
26675562,1493,1507,0,1,1
26675562,1533,1555,1,1,1
26675562,1688,1708,0,0,0
26683938,2944,2964,0,0,1
27004009,1289,1306,0,1,1
27004009,1317,1330,1,1,1
27004009,1344,1355,1,1,1
27004009,1387,1398,1,1,0
27004009,1403,1417,1,1,1
27004009,1442,1457,0,1,1
27004009,2490,2510,0,0,0
27004009,2784,2809,0,0,0
27196481,505,517,0,1,1
27683825,1149,1162,0,1,0
27793101,141,172,0,1,1
27793101,174,178,0,1,0
27793101,366,386,0,1,1
27793101,388,391,0,1,0
27793101,503,510,1,1,1
27793101,619,622,1,1,1
27793101,671,677,0,1,0
27793101,741,749,1,0,0
27793101,845,854,0,1,0
27793101,941,950,0,1,0
27793101,1243,1251,1,0,0
27793101,1383,1388,0,1,0
27793101,1499,1504,0,0,1
27793101,1551,1567,0,0,0
27793101,1639,1644,0,0,0
27793101,1703,1714,0,1,0
27793101,1764,1771,0,0,0
27793101,1813,1820,0,0,0
27793101,1982,1987,0,0,1
27793101,2096,2110,0,1,0
27793101,2115,2133,0,1,1
27793101,2150,2161,0,1,0
27793101,2291,2294,1,1,1
27793101,2917,2946,0,1,1
27793101,3025,3055,0,1,0
27793101,3088,3095,1,1,0
27793101,3198,3205,1,1,1
27793101,3399,3414,0,1,1
27793101,3464,3488,0,1,1
27842595,807,816,1,1,1
27842595,1026,1043,0,0,1
27842595,1048,1058,1,1,1
27842595,1373,1380,0,1,1
27842595,1490,1502,0,1,0
27842595,1510,1522,0,1,0
27842595,1524,1535,0,1,1
27842595,1541,1554,0,1,1
27842595,1569,1584,0,1,0
27842595,2400,2409,1,0,0
27846860,236,243,0,0,0
27846860,1951,1963,1,1,1
27846860,2017,2029,1,1,1
27846860,3198,3210,1,1,0
27906105,1514,1526,0,1,1
27906105,1543,1564,0,1,1
28120581,323,340,0,1,0
28120581,482,490,0,1,1
28120581,866,876,1,1,0
28120581,878,892,0,0,1
28120581,1088,1105,0,1,1
28120581,1254,1276,0,1,0
28120581,1311,1330,0,1,1
28120581,1751,1762,0,0,0
28120581,1814,1836,0,0,0
28120581,2098,2107,0,1,0
28120581,2232,2249,0,1,1
28120581,2478,2491,0,0,0
28120581,2858,2873,0,1,1
28120581,2892,2903,0,0,1
28151882,1339,1348,1,1,1
28151882,1419,1437,0,0,1
28151882,1462,1476,0,0,1
28151882,1635,1646,0,1,1
28151882,1724,1748,0,0,1
28151882,1953,1960,1,1,1
28151882,2012,2019,1,1,1
28151882,2053,2056,0,0,1
28151882,2073,2076,0,1,1
28151882,2119,2129,0,1,0
28151882,2134,2147,0,1,1
28151882,2197,2200,0,1,0
28151882,2268,2278,0,0,0
28151882,2316,2337,0,0,0
28151882,2339,2352,1,1,1
28151882,2393,2399,0,1,0
28151882,2687,2700,1,1,1
28151882,2853,2861,0,1,0
28151882,3014,3029,0,1,1
28190872,338,345,0,0,0
28190872,520,527,0,0,0
28190872,785,806,0,0,1
28190872,1716,1722,0,1,0
28190872,1864,1873,1,1,1
28190872,1880,1895,0,1,1
28190872,1987,1999,1,1,1
28190872,2063,2072,1,1,1
28190872,2130,2142,1,1,1
28190872,2506,2528,0,1,1
28190872,3058,3076,0,1,1
28190872,3101,3119,0,1,1
28190872,3125,3150,1,0,0
28202869,2216,2234,0,1,1
28202869,2240,2262,0,1,0
28202869,3149,3169,0,1,1
28216610,1672,1683,1,1,1
28239141,444,466,0,1,0
28239141,1680,1689,0,1,1
28239141,2016,2036,0,1,1
28239141,2056,2068,1,1,1
28250406,786,793,1,0,1
28250406,798,811,0,0,1
28250406,1033,1049,0,0,1
28250406,2331,2338,1,1,1
28250406,2536,2549,0,0,0
28250406,2569,2593,0,0,0
28321073,2646,2681,0,1,1
28321073,2683,2686,0,1,1
28321073,2726,2743,0,0,0
28321073,2962,2982,0,1,1
28353556,656,667,1,0,1
28353556,682,691,1,1,1
28353556,965,984,0,1,1
28353556,1093,1128,0,1,1
28353556,1130,1134,0,1,1
28353556,1364,1379,1,1,1
28353556,1381,1383,0,1,0
28353556,1517,1521,0,1,1
28353556,1526,1542,0,0,0
28353604,2002,2013,0,1,0
28353604,2032,2055,0,1,1
28353604,3445,3456,0,1,0
28353604,3491,3516,0,1,0
28353604,4166,4191,0,1,0
28353604,4416,4436,0,1,1
28353604,4523,4543,0,1,0
28353604,4556,4606,0,1,1
28353604,4608,4615,0,1,0
28422883,453,470,1,1,0
28422883,596,617,1,1,1
28422883,751,758,1,0,0
28422883,792,805,0,1,1
28422883,914,934,0,1,0
28422883,1523,1536,0,1,0
28422883,1568,1587,0,1,1
28422883,1667,1673,1,1,0
28422883,1699,1712,0,1,1
28422883,1760,1777,1,0,0
28422883,1979,1985,1,1,1
28422883,2011,2020,0,1,1
28422883,2056,2072,0,0,0
28422883,2273,2282,0,1,1
28422883,2325,2334,0,1,1
28422883,2339,2348,0,1,0
28422883,2394,2410,0,1,1
28422883,2431,2450,0,1,0
28422883,2456,2465,0,1,1
28422883,2569,2578,0,1,1
28422883,2659,2670,0,1,0
28422883,2770,2781,0,1,0
28422883,2787,2807,0,1,0
