model,split,threshold,n_docs,P,R,F1,TP,FP,FN,time_min,F1_DISO,F1_PROC,F1_ANAT,F1_CHEM,F1_DEVI,F1_LIVB,F1_PHYS,F1_PHEN,F1_GEOG,F1_OBJC
mistral-large-latest,test,0.0,10,0.4,0.3478,0.3721,8,12,15,0.3,0.6667,0.6,0.0,0.2222,1.0,0.0,0.0,0.0,0.0,0.0
mistral-large-latest,train,0.0,1249,0.6093,0.4375,0.5093,1979,1269,2544,41.9,0.5835,0.3616,0.5958,0.6258,0.2564,0.601,0.3394,0.0379,0.5153,0.093
mistral-large-latest,test,0.0,417,0.6326,0.4505,0.5263,706,410,861,12.7,0.5728,0.3606,0.6022,0.7372,0.4324,0.556,0.4286,0.026,0.4815,0.1538
ministral-14b-latest,train,0.0,1249,0.5916,0.3677,0.4535,1663,1148,2860,27.8,0.5464,0.3445,0.5114,0.5762,0.3333,0.5615,0.2768,0.0275,0.3973,0.0455
ministral-14b-latest,test,0.0,417,0.6216,0.3752,0.468,588,358,979,10.4,0.5365,0.3596,0.5181,0.6836,0.1538,0.5095,0.3226,0.0315,0.3721,0.1333
mistral-medium-latest,train,0.0,1249,0.6142,0.4524,0.521,2046,1285,2477,25.7,0.5969,0.4029,0.5909,0.6559,0.35,0.6607,0.343,0.0676,0.4181,0.0215
mistral-medium-latest,test,0.0,417,0.6346,0.4544,0.5296,712,410,855,9.1,0.569,0.416,0.5774,0.7284,0.3889,0.6078,0.4371,0.043,0.3571,0.08
mistral-large-latest,test,nested,0.0,417,0.6653,0.7281,0.6953,1141,574,426,13.8,0.7711,0.5168,0.7972,0.8442,0.5333,0.7256,0.5568,0.2105,0.5455,0.2857
mistral-large-latest,test,flat,0.0,417,0.6214,0.5395,0.5776,696,424,594,13.8,0.6628,0.4027,0.6667,0.774,0.3784,0.6226,0.4296,0.0,0.5,0.1538
mistral-large-latest,test,0.0,417,0.5718,0.7543,0.6505,1182,885,385,37.2,0.7111,0.5621,0.7011,0.7632,0.4762,0.6933,0.4242,0.1176,0.4333,0.2
ministral-14b-latest,test,0.0,417,0.5197,0.672,0.5861,1053,973,514,13.5,0.6396,0.5248,0.6393,0.7062,0.3529,0.6551,0.3628,0.1379,0.4416,0.1395
ministral-14b-latest,test,0.0,419,0.5125,0.5023,0.5073,554,527,549,13.5,0.6062,0.4154,0.4706,0.6897,0.08,0.6116,0.2836,0.0513,0.5455,0.1176
ministral-14b-latest,test,0.0,419,0.5046,0.4995,0.5021,551,541,552,11.3,0.6055,0.412,0.4706,0.6842,0.08,0.6083,0.2817,0.05,0.4889,0.0625
mistral-medium-latest,test,0.0,419,0.5506,0.5177,0.5336,571,466,532,10.2,0.6267,0.4651,0.4457,0.6695,0.1379,0.6582,0.32,0.0714,0.4681,0.0
mistral-large-latest,test,0.0,419,0.5398,0.5413,0.5405,597,509,506,17.2,0.6131,0.4792,0.4796,0.6587,0.1481,0.6116,0.3833,0.0769,0.5532,0.0
